football_data_name,provider_name,canonical_name
paris sg,Paris Saint-Germain,Paris Saint-Germain
paris sg,PSG,Paris Saint-Germain
man united,Manchester United,Manchester United
man city,Manchester City,Manchester City
ath madrid,Atlético Madrid,Atlético Madrid
ath madrid,Atletico Madrid,Atlético Madrid
ath bilbao,Athletic Club,Athletic Club
ath bilbao,Athletic Bilbao,Athletic Club
sociedad,Real Sociedad,Real Sociedad
betis,Real Betis,Real Betis
vallecano,Rayo Vallecano,Rayo Vallecano
wolves,Wolverhampton Wanderers,Wolverhampton Wanderers
newcastle,Newcastle United,Newcastle United
west ham,West Ham United,West Ham United
tottenham,Tottenham Hotspur,Tottenham Hotspur
brighton,Brighton & Hove Albion,Brighton & Hove Albion
brighton,Brighton and Hove Albion,Brighton & Hove Albion
leicester,Leicester City,Leicester City
leeds,Leeds United,Leeds United
norwich,Norwich City,Norwich City
sheffield united,Sheffield United,Sheffield United
nott'm forest,Nottingham Forest,Nottingham Forest
nottingham forest,Nottingham Forest,Nottingham Forest
inter,Internazionale,Internazionale
inter,Inter Milan,Internazionale
milan,AC Milan,AC Milan
verona,Hellas Verona,Hellas Verona
monza,AC Monza,AC Monza
koln,Köln,Köln
koln,FC Köln,Köln
fc koln,FC Köln,Köln
bayern munich,Bayern Munich,Bayern Munich
bayern munich,Bayern München,Bayern Munich
dortmund,Borussia Dortmund,Borussia Dortmund
mgladbach,Borussia Mönchengladbach,Borussia Mönchengladbach
monchengladbach,Borussia Mönchengladbach,Borussia Mönchengladbach
leverkusen,Bayer Leverkusen,Bayer Leverkusen
hertha,Hertha Berlin,Hertha Berlin
union berlin,Union Berlin,Union Berlin
ein frankfurt,Eintracht Frankfurt,Eintracht Frankfurt
frankfurt,Eintracht Frankfurt,Eintracht Frankfurt
freiburg,SC Freiburg,SC Freiburg
mainz,Mainz 05,Mainz 05
stuttgart,VfB Stuttgart,VfB Stuttgart
werder bremen,Werder Bremen,Werder Bremen
schalke 04,Schalke 04,Schalke 04
marseille,Olympique de Marseille,Olympique de Marseille
lyon,Olympique Lyonnais,Olympique Lyonnais
monaco,AS Monaco,AS Monaco
lille,Lille,Lille
rennes,Rennes,Rennes
lens,Lens,Lens
nice,OGC Nice,OGC Nice
reims,Stade de Reims,Stade de Reims
st etienne,Saint-Étienne,Saint-Étienne
stade de reims,Stade de Reims,Stade de Reims
clermont,Clermont Foot,Clermont Foot
celta,Celta Vigo,Celta Vigo
espanyol,Espanyol,Espanyol
espanol,Espanyol,Espanyol
cadiz,Cádiz,Cádiz
alaves,Alavés,Alavés
valladolid,Real Valladolid,Real Valladolid
osasuna,Osasuna,Osasuna
mallorca,Mallorca,Mallorca
girona,Girona,Girona
elche,Elche,Elche
granada,Granada,Granada
